country;gdpPercap_1952;gdpPercap_1957;gdpPercap_1962;gdpPercap_1967;gdpPercap_1972;gdpPercap_1977;gdpPercap_1982;gdpPercap_1987;gdpPercap_1992;gdpPercap_1997;gdpPercap_2002;gdpPercap_2007
Afghanistan;7.794.453.145;8.208.530.296;85.310.071;8.361.971.382;7.399.811.058;78.611.336;9.780.114.388;8.523.959.448;6.493.413.952;635.341.351;7.267.340.548;9.745.803.384
Bahrain;9.867.084.765;1.163.579.945;1.275.327.514;148.046.727;1.826.865.839;1.934.010.196;1.921.114.731;1.852.402.406;1.903.557.917;2.029.201.679;2.340.355.927;2.979.604.834
Bangladesh;6.842.441.716;6.616.374.577;6.863.415.538;7.211.860.862;6.302.336.265;6.598.772.322;6.769.818.656;7.519.794.035;8.378.101.643;9.727.700.352;113.639.043;1.391.253.792
Cambodia;3.684.692.856;4.340.383.364;4.969.136.476;5.234.323.142;4.216.240.257;5.249.721.832;6.244.754.784;6.838.955.732;6.823.031.755;73.428.517;8.962.260.153;1.713.778.686
China;4.004.486.107;5.759.870.009;4.876.740.183;6.127.056.934;6.769.000.921;7.412.374.699;9.624.213.805;1.378.904.018;1.655.784.158;2.289.234.136;3.119.280.896;4.959.114.854
Hong Kong China;3.054.421.209;3.629.076.457;4.692.648.272;6.197.962.814;8.315.928.145;1.118.614.125;1.456.053.051;2.003.847.269;2.475.760.301;2.837.763.219;3.020.901.516;3.972.497.867
India;5.465.657.493;590.061.996;6.583.471.509;7.007.706.107;724.032.527;813.337.323;8.557.235.377;9.765.126.756;1.164.406.809;1.458.817.442;1.746.769.454;2.452.210.407
Indonesia;7.496.816.546;8.589.002.707;8.492.897.701;7.624.317.721;1.111.107.907;1.382.702.056;1.516.872.988;1.748.356.961;2.383.140.898;3.119.335.603;287.391.287;3.540.651.564
Iran;3.035.326.002;3.290.257.643;4.187.329.802;5.906.731.805;9.613.818.607;1.188.859.508;7.608.334.602;6.642.881.371;7.235.653.188;8.263.590.301;9.240.761.975;1.160.571.449
Iraq;4.129.766.056;6.229.333.562;8.341.737.815;8.931.459.811;9.576.037.596;1.468.823.507;1.451.790.711;1.164.357.268;3.745.640.687;3.076.239.795;4.390.717.312;4.471.061.906
Israel;4.086.522.128;5.385.278.451;7.105.630.706;8.393.741.404;1.278.693.223;1.330.661.921;153.670.292;1.712.247.986;1.805.152.254;2.089.660.924;2.190.559.514;255.232.771
Japan;3.216.956.347;4.317.694.365;6.576.649.461;9.847.788.607;1.477.878.636;1.661.037.701;1.938.410.571;2.237.594.189;2.682.489.511;2.881.658.499;286.045.919;3.165.606.806
Jordan;1.546.907.807;1.886.080.591;2.348.009.158;2.741.796.252;2.110.856.309;2.852.351.568;4.161.415.959;4.448.679.912;3.431.593.647;3.645.379.572;3.844.917.194;4.519.461.171
Korea Dem. Rep.;1.088.277.758;1.571.134.655;1.621.693.598;2.143.540.609;3.701.621.503;4.106.301.249;4.106.525.293;4.106.492.315;3.726.063.507;1.690.756.814;1.646.758.151;159.306.548
Korea Rep.;1.030.592.226;1.487.593.537;1.536.344.387;2.029.228.142;303.087.665;465.722.102;5.622.942.464;8.533.088.805;1.210.427.872;1.599.352.796;1.923.398.818;2.334.813.973
Kuwait;1.083.823.529;1.135.231.329;9.545.811.176;8.089.488.326;109.347.867;5.926.547.714;3.135.403.573;2.811.842.998;3.493.291.959;4.030.061.996;3.511.010.566;4.730.698.978
Lebanon;4.834.804.067;6.089.786.934;5.714.560.611;6.006.983.042;7.486.384.341;8.659.696.836;7.640.519.521;5.377.091.329;6.890.806.854;875.496.385;931.393.883;1.046.105.868
Malaysia;1.831.132.894;1.810.066.992;2.036.884.944;2.277.742.396;284.909.478;3.827.921.571;4.920.355.951;5.249.802.653;7.277.912.802;1.013.290.964;1.020.697.794;124.516.558
Mongolia;7.865.668.575;9.126.626.085;1.056.353.958;122.604.113;1.421.741.975;1.647.511.665;2.000.603.139;2.338.008.304;1.785.402.016;19.022.521;2.140.739.323;3.095.772.271
Myanmar;331;350;388;349;357;371;424;385;347;415;611;944
